time,avg_power_kw
515.571,3445.330121
516.571,3445.330121
517.571,3445.330121
518.571,3445.330121
519.571,3445.330121
520.571,3445.330121
521.571,3445.330121
522.571,3445.330121
523.571,3445.330121
524.571,3445.330121
525.571,3445.330121
526.571,3445.330121
527.571,3445.330121
528.571,3445.330121
529.571,3445.330121
530.571,3445.330121
531.571,3445.330121
532.571,3445.330121
533.571,3445.330121
534.571,3445.330121
535.571,3445.330121
536.571,3445.330121
537.571,3445.330121
538.571,3445.330121
539.571,3445.330121
540.571,3445.330121
541.571,3445.330121
542.571,3445.330121
543.571,3445.330121
544.571,3445.330121
545.571,3445.330121
546.571,3445.330121
547.571,3445.330121
548.571,3445.330121
549.571,3445.330121
550.571,3445.330121
551.571,3445.330121
552.571,3445.330121
553.571,3445.330121
554.571,3445.330121
555.571,3445.330121
556.571,3445.330121
557.571,3445.330121
558.571,3445.330121
559.571,3445.330121
560.571,3445.330121
561.571,3445.330121
562.571,3445.330121
563.571,3445.330121
564.571,3445.330121
565.571,3445.330121
566.571,3445.330121
567.571,3445.330121
568.571,3445.330121
569.571,3445.330121
570.571,3445.330121
571.571,3445.330121
572.571,3445.330121
573.571,3445.330121
574.571,3445.330121
575.571,3445.330121
576.571,3445.330121
577.571,3445.330121
578.571,3445.330121
579.571,3445.330121
580.571,3445.330121
581.571,3445.330121
582.571,3445.330121
583.571,3445.330121
584.571,3445.330121
585.571,3445.330121
586.571,3445.330121
587.571,3445.330121
588.571,3445.330121
589.571,3445.330121
590.571,3445.330121
591.571,3445.330121
592.571,3445.330121
593.571,3445.330121
594.571,3445.330121
595.571,3445.330121
596.571,3445.330121
597.571,3445.330121
598.571,3445.330121
599.571,3445.330121
600.571,3445.330121
601.571,3445.330121
602.571,3445.330121
603.571,3445.330121
604.571,3445.330121
605.571,3445.330121
606.571,3445.330121
607.571,3445.330121
608.571,3445.330121
609.571,3445.330121
610.571,3445.330121
611.571,3445.330121
612.571,3445.330121
613.571,3445.330121
614.571,3445.330121
615.571,3445.330121
616.571,3445.330121
617.571,3445.330121
618.571,3445.330121
619.571,3445.330121
620.571,3445.330121
621.571,3445.330121
622.571,3445.330121
623.571,3445.330121
624.571,3445.330121
625.571,3445.330121
626.571,3445.330121
627.571,3445.330121
628.571,3445.330121
629.571,3445.330121
630.571,3445.330121
631.571,3445.330121
632.571,3445.330121
633.571,3445.330121
634.571,3445.330121
635.571,3445.330121
636.571,3445.330121
637.571,3445.330121
638.571,3445.330121
639.571,3445.330121
640.571,3445.330121
641.571,3445.330121
642.571,3445.330121
643.571,3445.330121
644.571,3445.330121
645.571,3445.330121
646.571,3445.330121
647.571,3445.330121
648.571,3445.330121
649.571,3445.330121
650.571,3445.330121
651.571,3445.330121
652.571,3445.330121
653.571,3445.330121
654.571,3445.330121
655.571,3445.330121
656.571,3445.330121
657.571,3445.330121
